state,tract,BLL_geq_5,BLL_geq_10,tested,year,tested_suppressed,tested_ell,zero_sup_tested,BLL_geq_5_suppressed,BLL_geq_10_suppressed,ell_5,zero_sup_BLL_5,ell_10,zero_sup_BLL_10,median_annual_incomeE,house_price_medianE,poor_fam_propE,black_ppl_propE,bp_pre_1959E_prop,svi_socioeconomic_pctile,ped_per_100k,under_yo5_ppl,STATE_NAME,COUNTY,tests_p_kid,county,town,start_year,end_year
OH,39001770100,0,0,7,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-1.313393274793802,-0.23237847292436897,0.996269214740341,-0.6242065786082103,-0.8448218252768565,0.9930813436239138,-1.3267093237915741,335,Ohio,Adams County,0.020895522388059702,NA,NA,NA,NA
OH,39001770200,5,0,11,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.638035177034912,-0.2440756663594822,-0.10549805481525658,-0.6313062576442126,-0.3524272196564849,0.9942189998148012,-1.3267093237915741,322,Ohio,Adams County,0.034161490683229816,NA,NA,NA,NA
OH,39001770400,0,0,15,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-0.9830043196745594,-0.4377292021185787,0.6556977972720431,-0.6371085896927108,-0.8001780657859131,1.1845868024233144,-1.3267093237915741,384,Ohio,Adams County,0.0390625,NA,NA,NA,NA
OH,39001770500,5,0,9,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-1.1938929143324433,-0.40653668629161016,0.3907154676951447,-0.6370622367741412,-1.033210473783069,1.29076804690615,-1.3267093237915741,204,Ohio,Adams County,0.04411764705882353,NA,NA,NA,NA
OH,39001770600,0,0,13,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-1.3309276179555962,-0.7990425104476313,0.48138115828222044,-0.6416751162309126,-0.17656013162570147,1.3791260110650818,-1.3267093237915741,229,Ohio,Adams County,0.056768558951965066,NA,NA,NA,NA
OH,39003010200,0,0,18,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,0.5967065857225223,-0.14269998992183436,-0.8153996938891215,-0.6416751162309126,0.32614229871958084,-0.8973240269008628,-0.6989562128815626,230,Ohio,Allen County,0.0782608695652174,NA,NA,NA,NA
OH,39003010300,0,0,8,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,0.44537758060877647,0.24070801711798762,-1.0118763288692563,-0.6416751162309126,-0.15696353317224548,-1.0577335498160043,-0.6989562128815626,87,Ohio,Allen County,0.09195402298850575,NA,NA,NA,NA
OH,39003010600,5,0,37,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,0.008162545683168022,0.23161020000178845,-0.5703782865052707,-0.612296683568596,-0.1461871476695604,-0.3641424921049078,-0.6989562128815626,367,Ohio,Allen County,0.1008174386920981,NA,NA,NA,NA
OH,39003010900,0,0,30,2011,FALSE,5,FALSE,FALSE,FALSE,4,FALSE,4,FALSE,-0.1670855905915037,-0.20768439789468554,-0.8798535055624842,-0.1834565547215788,-0.9875302613519863,-0.05887141421675448,-0.6989562128815626,198,Ohio,Allen County,0.15151515151515152,NA,NA,NA,NA
OH,39003011000,5,0,76,2011,FALSE,5,FALSE,TRUE,FALSE,4,FALSE,4,FALSE,-0.8463507974244892,-0.34675103095658705,0.909020130649382,0.06908014242819423,-1.2521609769864914,0.7909577603762296,-0.6989562128815626,332,Ohio,Allen County,0.2289156626506024,NA,NA,NA,NA
