all_properties,msoa11cd,bp_pre_1900_prop,bp_1900_1918_prop,bp_1919_1929_prop,bp_1930_1939_prop,bp_1945_1954_prop,bp_1955_1964_prop,bp_1965_1972_prop,bp_1973_1982_prop,bp_1983_1992_prop,bp_1993_1999_prop,bp_2000_2008_prop,bp_2009_prop,bp_2010_prop,bp_2011_prop,bp_2012_prop,bp_2013_prop,bp_2014_prop,bp_2015_prop,bp_2016_prop,bp_2017_prop,bp_2018_prop,bp_2019_prop,bp_2020_prop,bp_2021_prop,bp_pre_1929_prop,bp_pre_1939_prop,bp_pre_1954_prop,bp_pre_1982_prop,bp_pre_1992_prop,bp_pre_1999_prop,bp_post_2000_prop,bp_unkw_prop,house_terraced_prop,build_year_mean,build_year_median
3770,E02004297,0.1856763925729443,0.05570291777188329,0.06896551724137931,0.07692307692307693,0.015915119363395226,0.1220159151193634,0.19363395225464192,0.05570291777188329,0.0636604774535809,0.015915119363395226,0.08488063660477453,0.007957559681697613,0.005305039787798408,0,0.002652519893899204,0,0.002652519893899204,0.007957559681697613,0.007957559681697613,0.002652519893899204,0.002652519893899204,0.015915119363395226,0.005305039787798408,0,0.3103448275862069,0.38726790450928383,0.40318302387267907,0.7745358090185677,0.8381962864721486,0.8541114058355438,0.1458885941644563,0.005305039787798408,0.40848806366047746,1947.4655172413793,1962.141304347826
2670,E02004290,0.07865168539325842,0.0299625468164794,0,0.03745318352059925,0.06367041198501873,0.1647940074906367,0.11610486891385768,0.27715355805243447,0.17228464419475656,0.011235955056179775,0.026217228464419477,0,0,0,0,0,0,0,0,0.0149812734082397,0.003745318352059925,0.003745318352059925,0,0,0.10861423220973783,0.14606741573033707,0.20973782771535582,0.7677902621722847,0.9400749063670413,0.9513108614232211,0.048689138576779034,0,0.24344569288389514,1962.9550561797753,1973.304054054054
4570,E02004298,0.175054704595186,0.0437636761487965,0.024070021881838075,0.18161925601750548,0.13785557986870897,0.061269146608315096,0.07221006564551423,0.0525164113785558,0.045951859956236324,0.06564551422319474,0.0700218818380744,0.002188183807439825,0,0.002188183807439825,0.002188183807439825,0.0087527352297593,0.0175054704595186,0.010940919037199124,0.0087527352297593,0.006564551422319475,0.006564551422319475,0.00437636761487965,0,0,0.24288840262582057,0.42450765864332607,0.5623632385120351,0.7483588621444202,0.7943107221006565,0.8599562363238512,0.1400437636761488,0.002188183807439825,0.24726477024070023,1946.7746170678338,1949.9285714285713
3970,E02004299,0.0906801007556675,0.14609571788413098,0.05289672544080604,0.007556675062972292,0.055415617128463476,0.09571788413098237,0.08816120906801007,0.26448362720403024,0.055415617128463476,0.020151133501259445,0.08060453400503778,0.012594458438287154,0.010075566750629723,0.0025188916876574307,0.005037783375314861,0.0025188916876574307,0,0,0,0,0,0.005037783375314861,0,0,0.2896725440806045,0.2972292191435768,0.3526448362720403,0.801007556675063,0.8564231738035264,0.8765743073047858,0.11838790931989925,0.0025188916876574307,0.44080604534005036,1954.5683544303797,1968.9
3560,E02004291,0.20224719101123595,0.12640449438202248,0.0028089887640449437,0.03651685393258427,0.09550561797752809,0.025280898876404494,0.10955056179775281,0.09550561797752809,0.11797752808988764,0.03932584269662921,0.0449438202247191,0.0028089887640449437,0,0,0.0028089887640449437,0.011235955056179775,0.014044943820224719,0.019662921348314606,0.011235955056179775,0.02247191011235955,0.008426966292134831,0.0056179775280898875,0.0028089887640449437,0,0.33146067415730335,0.3679775280898876,0.4634831460674157,0.6938202247191011,0.8117977528089887,0.8511235955056179,0.14606741573033705,0.0028089887640449437,0.4943820224719101,1947.7225352112678,1965.628205128205
3740,E02004300,0.15508021390374332,0.08021390374331551,0.08288770053475936,0.10427807486631016,0.034759358288770054,0.1443850267379679,0.11229946524064172,0.11764705882352941,0.0374331550802139,0.0106951871657754,0.08021390374331551,0.00267379679144385,0.00267379679144385,0.00267379679144385,0.008021390374331552,0.0106951871657754,0.008021390374331552,0,0,0,0,0.00267379679144385,0,0,0.3181818181818182,0.42245989304812837,0.45721925133689845,0.8315508021390375,0.8689839572192515,0.8796791443850269,0.11764705882352941,0.00267379679144385,0.5080213903743316,1945.455764075067,1957.5833333333333
3830,E02004292,0.04177545691906005,0.018276762402088774,0.007832898172323759,0.21409921671018275,0.13838120104438642,0.14360313315926893,0.1618798955613577,0.06005221932114883,0.04699738903394256,0.028720626631853787,0.06266318537859007,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0,0.0026109660574412533,0.005221932114882507,0,0,0,0.020887728459530026,0.02610966057441253,0.010443864229765013,0,0.06788511749347259,0.2819843342036553,0.42036553524804177,0.7859007832898172,0.8328981723237597,0.8616187989556136,0.13577023498694515,0,0.14360313315926893,1959.6583769633507,1959.909090909091
4440,E02004301,0.08108108108108109,0.08783783783783784,0.11261261261261261,0.12612612612612611,0.11036036036036036,0.02927927927927928,0.05855855855855856,0.17117117117117117,0.0022522522522522522,0.06981981981981981,0.04504504504504504,0.0045045045045045045,0.006756756756756757,0.006756756756756757,0,0.0022522522522522522,0.01126126126126126,0.02027027027027027,0.009009009009009009,0.009009009009009009,0.013513513513513514,0.013513513513513514,0.009009009009009009,0,0.28153153153153154,0.40765765765765766,0.5180180180180181,0.7770270270270271,0.7792792792792793,0.8490990990990991,0.15090090090090091,0,0.46621621621621623,1953.5529279279278,1952.530612244898
4060,E02004302,0.29310344827586204,0.2857142857142857,0.0665024630541872,0.014778325123152709,0.014778325123152709,0.04187192118226601,0.09113300492610837,0.014778325123152709,0.024630541871921183,0.017241379310344827,0.06403940886699508,0.0024630541871921183,0.0049261083743842365,0.007389162561576354,0.0024630541871921183,0.012315270935960592,0.0024630541871921183,0.009852216748768473,0.007389162561576354,0.0049261083743842365,0.007389162561576354,0.0049261083743842365,0,0,0.6453201970443349,0.6600985221674875,0.6748768472906402,0.8226600985221674,0.8472906403940885,0.8645320197044334,0.13054187192118225,0.0024630541871921183,0.6773399014778325,1924.101485148515,1912.8793103448277
5630,E02004303,0.3463587921847247,0.06216696269982238,0.12966252220248667,0.10479573712255773,0.007104795737122558,0.003552397868561279,0.019538188277087035,0.010657193605683837,0.02664298401420959,0.06571936056838366,0.17406749555950266,0.007104795737122558,0.010657193605683837,0.008880994671403197,0,0,0,0.003552397868561279,0.0053285968028419185,0.003552397868561279,0.003552397868561279,0,0.003552397868561279,0,0.5381882770870338,0.6429840142095915,0.650088809946714,0.6838365896980463,0.7104795737122559,0.7761989342806396,0.22024866785079933,0.0017761989342806395,0.47602131438721135,1931.0044563279857,1925.9178082191781
