msoa11cd,median_annual_incomeE,median_annual_incomeE_lower_bound,median_annual_incomeE_upper_bound
E02001726,31500,26300,37800
E02001727,34100,28400,40900
E02001728,33200,27700,39900
E02001729,30800,25400,37300
E02001730,31000,25400,37800
E02001731,28900,23800,35200
E02001732,30800,25700,36900
E02001733,29200,24300,35100
E02001734,28300,23600,33900
E02001735,25000,20800,30000
E02001736,26900,22300,32600
E02001737,24700,20500,29800
E02006893,36400,30400,43600
E02001738,48500,40300,58300
E02001739,34100,28500,40800
E02001740,52600,43700,63200
E02001741,38600,32200,46200
E02001742,46600,38800,56000
E02001743,43200,36000,51800
E02001744,38300,32000,45900
E02001745,37200,31000,44600
E02001746,39000,32600,46700
E02001747,40400,33600,48400
E02001748,39700,33100,47600
E02001749,37000,30900,44300
E02001750,40600,33900,48700
E02001751,35100,29400,42000
E02001752,31000,25800,37100
E02001753,39600,32900,47500
E02001754,44000,36200,53400
E02001755,42000,35000,50400
E02001756,35200,29300,42200
E02001757,34100,28500,40800
E02001758,38500,32100,46200
E02001759,34500,28700,41500
E02001760,29000,24200,34800
E02001761,32800,27400,39300
E02001762,35700,29700,42900
E02001763,28000,23300,33600
E02001764,30200,25100,36300
E02001765,30600,25600,36700
E02001766,34100,28400,40900
E02001767,31800,26600,38200
E02001768,31500,26300,37700
E02001769,26000,21600,31400
E02001770,36100,30100,43300
E02001771,32600,27300,39000
E02001772,34400,28800,41200
E02001773,40700,33900,48700
E02001774,30400,25400,36400
E02001775,29000,24200,34700
E02001776,32600,27200,39100
E02001777,34600,28800,41600
E02001778,30400,25300,36400
E02001779,27400,22800,32800
E02001780,34800,29100,41700
E02001781,27000,22500,32400
E02001782,30500,25400,36500
E02001783,28900,24100,34700
E02001784,32600,27200,39100
E02001785,34100,28400,40800
E02001786,30300,25300,36400
E02001787,34100,28500,40800
E02001788,34300,28700,41100
E02001789,49600,41300,59700
E02001790,40600,33900,48700
E02001791,40900,34100,49000
E02001792,40900,34200,49000
E02001793,27200,22600,32600
E02001794,27300,22700,32800
E02001795,27700,23100,33200
E02001796,32200,26800,38500
E02001797,38600,32200,46300
E02001798,29200,24400,35100
E02001799,28800,24000,34500
E02001800,34900,29100,41900
E02001801,28700,23800,34500
E02001802,26400,22000,31700
E02001803,27300,22600,32900
E02001804,31100,25900,37300
E02001805,34100,28500,40800
E02001806,25800,21500,31100
E02001807,36500,30500,43800
E02001808,35900,29900,42900
E02001809,35400,29600,42400
E02001810,37100,30900,44500
E02001811,28800,24000,34500
E02001812,43100,35900,51700
E02001813,27000,22500,32500
E02001814,33300,27800,39900
E02001815,43500,36200,52100
E02001816,28000,23300,33600
E02001817,29600,24700,35500
E02001818,34500,28800,41300
E02001819,40600,33900,48700
E02001820,36300,30300,43500
E02001821,38700,32300,46400
E02001822,36900,30800,44200
E02001823,33600,28100,40300
E02001824,34200,28500,40900
E02001825,31800,26600,38100
E02001826,29700,24800,35600
E02002615,36500,30600,43500
E02002616,44900,37500,53700
E02002617,31200,26100,37400
E02002618,34100,28400,40800
E02002619,31000,26000,37100
E02002620,26400,22100,31600
E02002621,28700,24000,34400
E02002622,27800,23300,33200
E02002623,31400,26400,37500
E02002624,45200,37900,54000
E02002625,35300,29600,42000
E02002626,35100,29500,41800
E02002627,47800,39900,57300
E02002628,33500,28200,39900
E02002629,33500,28000,40000
E02002630,33100,27700,39500
E02002631,39500,33200,47100
E02002632,49500,41500,59100
E02002633,32800,27500,39200
E02002634,30700,25700,36700
E02002635,33700,28200,40100
E02002636,34100,28600,40600
E02002637,35700,30000,42500
E02002638,24900,20600,30100
E02002639,25100,20900,30100
E02002640,25600,21400,30800
E02002641,34700,29100,41400
E02002642,22600,18600,27500
E02002643,30900,25900,36900
E02002644,36100,30300,43100
E02002645,21600,17700,26300
E02002646,29100,24400,34700
E02002647,28700,24100,34300
E02002648,31200,26200,37200
E02002649,33100,27800,39500
E02002650,34100,28600,40700
E02002651,33200,27800,39700
E02003853,51000,42700,60900
E02003854,46400,38900,55500
E02003855,46800,39200,55800
E02003856,40900,34300,48700
E02003857,50800,42600,60600
E02003858,52900,44200,63300
E02003859,46400,38800,55500
E02003860,55700,46500,66600
E02003861,44000,36900,52500
E02003863,53000,44300,63400
E02003862,57000,47500,68400
E02003864,49700,41600,59400
E02003865,47000,39400,56000
E02003866,60000,49900,72100
E02003867,49000,41100,58500
E02003868,41800,35000,49800
E02003869,48900,41000,58300
E02003870,43100,36100,51500
E02003871,38500,32300,46000
E02003872,48000,40200,57300
E02003873,35500,29800,42400
E02003811,51100,42700,61200
E02003812,48600,40700,58100
E02003813,41500,34900,49400
E02003814,46500,38900,55500
E02003815,36900,31000,44000
E02003816,38900,32700,46400
E02003817,43900,36800,52300
E02003818,48300,40500,57600
E02003819,43700,36600,52100
E02003820,51300,42900,61300
E02003821,39600,33300,47200
E02003822,44100,37000,52500
E02003825,46800,39200,56000
E02003826,34600,29000,41300
E02003827,32700,27400,39100
E02003828,34900,29300,41500
E02003829,37100,30900,44500
E02003830,36500,30600,43400
E02003823,43500,36500,51900
E02003831,49000,41100,58400
E02003824,47900,40200,57300
E02003832,39800,33200,47600
E02003833,42700,35800,51000
E02003834,38200,32000,45700
E02003835,52300,43800,62500
E02003836,38400,32200,45800
E02003838,44900,37700,53400
E02003837,51500,43100,61600
E02003839,41100,34500,48900
E02003840,44400,37100,53000
E02003841,41800,35100,49800
E02003874,47300,39700,56300
E02003875,46900,39200,56100
E02003842,51500,43200,61500
E02003843,36700,30800,43700
E02003844,43500,36500,51800
E02003845,31700,26500,37900
E02003846,32100,26900,38300
E02003847,51000,42700,61000
E02003848,36000,30100,43000
E02003849,31600,26400,37700
E02003876,42700,35800,51000
E02003850,39400,33000,47100
E02003851,44700,37500,53300
E02003877,46500,38900,55500
E02003852,44700,37500,53300
E02003878,42800,36000,51000
E02003879,38100,31900,45400
E02003880,40000,33500,47600
E02003881,40700,34100,48500
E02003882,37500,31500,44700
E02003794,45000,37800,53600
E02003883,53300,44600,63600
E02003884,50100,42000,59800
E02003795,44000,36800,52500
E02003885,47800,40100,56900
E02003796,39600,33300,47100
E02003797,50300,42200,60100
E02003798,32700,27300,39100
E02003800,50300,42100,60000
E02003799,32000,26800,38100
E02003801,47300,39700,56300
E02003802,36900,30800,44100
E02003803,36400,30400,43600
E02003886,38100,31900,45400
E02003804,45300,37900,54100
E02003887,44400,37200,53000
E02003888,33500,28100,39900
E02003805,49000,41100,58500
E02003889,36700,30500,44100
E02003806,50400,42200,60200
E02003890,39900,33400,47500
E02003807,50100,41900,59800
E02003808,38700,32500,46100
E02003891,47500,39800,56700
E02003809,47200,39600,56300
E02003810,41400,34700,49400
E02002574,47600,39900,56900
E02002575,54500,45500,65300
E02002576,33900,28400,40400
E02002577,29600,24800,35300
E02002578,35300,29600,42100
E02002579,32100,26900,38200
E02002580,28900,24200,34500
E02002581,37800,31700,45000
E02002582,55200,46100,66000
E02002583,28900,24200,34500
E02002584,37300,31200,44500
E02002585,36300,30400,43300
E02002586,29400,24700,35100
E02002587,34300,28700,40900
E02002588,29100,24300,34800
E02002589,49400,41200,59100
E02002590,47600,39600,57300
E02002591,44200,37100,52700
E02002592,41500,34800,49500
E02002593,42300,35500,50400
E02002594,40100,33700,47800
E02002595,32000,26800,38200
E02002596,41700,35000,49700
E02002597,31800,26700,37900
E02002598,54400,45500,65100
E02002599,47600,39900,56900
E02002600,34300,28800,40800
E02002601,43000,36000,51200
E02002602,33800,28400,40300
E02002603,43700,36600,52100
E02002604,45100,37800,53800
E02002605,42100,35300,50200
E02002606,36400,30500,43400
E02002607,37500,31400,44800
E02002608,42700,35800,50900
E02002609,34000,28500,40600
E02002610,51100,42800,61000
E02002611,48600,40800,58000
E02002612,45000,37700,53800
E02002613,54300,45300,65000
E02002614,63800,53000,76900
E02003965,34000,28600,40500
E02003966,42500,35600,50800
E02003967,37600,31600,44900
E02003968,35800,30000,42600
E02003969,29000,24300,34700
E02003970,44900,37600,53500
E02003971,47100,39500,56200
E02003972,34800,29200,41500
E02003973,29900,25100,35600
E02003974,33200,27800,39600
E02003975,41100,34500,48900
E02003976,37800,31700,45000
E02003977,39100,32800,46600
E02003978,36700,30900,43700
E02003979,44500,37300,53000
E02003980,29000,24300,34600
E02003981,41100,34500,48900
E02003982,41100,34600,49000
E02003983,31300,26300,37400
E02003984,27400,22900,32800
E02003985,34700,29100,41300
E02003986,35200,29500,42000
E02003987,35200,29500,42000
E02003988,36400,30600,43400
E02003989,40900,34200,48900
E02003990,42200,35400,50300
E02003991,42900,35700,51500
E02003992,33200,27700,39700
E02003993,44500,37200,53200
E02003994,32500,27200,38800
E02003995,29900,25000,35700
E02003996,33500,27900,40200
E02003997,29000,24200,34600
E02003998,30200,25300,36200
E02003999,41200,34500,49200
E02004000,37500,31400,44700
E02004001,34500,28900,41100
E02004002,43700,36600,52100
E02004003,38200,32100,45500
E02004004,31800,26600,38000
E02004005,37200,31200,44300
E02004006,48300,40500,57600
E02004007,36000,30200,42900
E02004008,40700,34100,48500
E02004009,41400,34700,49400
E02004010,32800,27500,39100
E02004011,39600,33200,47200
E02004012,41000,34300,48900
E02004013,38800,32600,46300
E02004014,39500,33100,47100
E02004015,34800,29100,41700
E02004016,37600,31600,44800
E02004017,41600,34800,49600
E02004018,38600,32300,46100
E02004019,43000,36100,51300
E02004020,41500,34900,49400
E02004021,42400,35500,50700
E02004022,43800,36700,52200
E02004023,37400,31200,44900
E02004024,48900,40900,58600
E02004025,42100,35300,50200
E02004026,36900,31000,44000
E02004027,38600,32400,46000
E02004028,46400,38900,55300
E02000984,56300,46800,67700
E02000985,50300,42000,60300
E02000986,41800,35100,49900
E02000987,34800,29200,41600
E02000988,33400,28000,39800
E02000989,43300,36300,51600
E02000990,45500,38100,54200
E02000991,39300,33000,46800
E02000992,41500,34800,49400
E02000993,31000,26000,36900
E02000994,27700,23200,33100
E02000995,41200,34600,49100
E02000996,29400,24600,35000
E02000997,42400,35600,50500
E02000998,30900,25900,37000
E02000999,25000,20800,30000
E02001000,32600,27400,38900
E02001001,41800,35100,49700
E02001002,37400,31400,44600
E02001003,50300,42100,60100
E02001004,27900,23300,33500
E02001005,31900,26700,38100
E02001006,33100,27700,39500
E02001007,37000,31000,44100
E02001008,28100,23500,33600
E02001009,32500,27200,38700
E02001010,31600,26500,37600
E02001011,45500,38100,54200
E02001012,35900,30100,42800
E02001013,45800,38300,54600
E02001014,35200,29500,41900
E02001015,30200,25300,36000
E02001016,31200,26100,37200
E02001017,38900,32700,46300
E02001018,47400,39700,56500
E02001019,42900,36000,51000
E02001020,49900,41800,59600
E02001021,49800,41700,59400
E02001022,39200,32900,46700
E02001023,45300,37900,54100
E02001024,44900,37600,53600
E02001025,31400,26400,37400
E02001026,32200,27000,38500
E02001027,37100,31100,44300
E02001028,45200,37900,54000
E02001029,32700,27400,39100
E02001030,43400,36400,51800
E02001031,38600,32400,45900
E02001032,37700,31600,44900
E02001033,36600,30600,43700
E02001034,29200,24500,34900
E02001035,44000,37000,52400
E02001036,41000,34500,48900
E02001037,45300,38000,54000
E02001038,36600,30800,43700
E02001039,35100,29400,41800
E02001040,41500,34800,49400
E02001041,39000,32700,46500
E02001042,42300,35400,50500
E02001043,40900,34400,48800
E02001044,45500,37700,55000
E02001045,29700,24900,35400
E02001046,33400,28000,39800
E02001047,32500,27300,38700
E02001048,35400,29700,42200
E02001049,36500,30600,43400
E02001050,30300,25300,36200
E02001051,32600,27300,38900
E02001052,31900,26600,38100
E02001053,26500,22100,31700
E02001055,29500,24700,35200
E02001056,26400,22100,31600
E02001057,36100,30300,43100
E02001059,31500,26400,37600
E02001061,29800,25000,35500
E02001062,27500,22800,33200
E02001063,33600,27300,41200
E02001064,29600,24800,35300
E02001065,32100,26900,38300
E02001066,28500,23400,34600
E02001067,31200,26100,37300
E02001068,29100,24300,34900
E02001069,31300,26000,37700
E02001070,30900,25300,37900
E02001071,34900,29000,42000
E02001072,40600,33900,48600
E02001073,48200,40300,57600
E02001074,35400,29700,42300
E02001075,37600,31400,44900
E02001076,36300,29200,44900
E02001077,48800,40800,58400
E02001078,38300,32100,45700
E02001079,36400,30400,43400
E02001080,36500,30400,43800
E02001081,48900,40700,58600
E02001082,49300,41300,58800
E02001083,49300,40900,59400
E02001084,44000,36800,52600
E02001085,33500,28100,39900
E02001086,43900,36600,52700
E02001087,55800,46500,66800
E02001088,36200,30400,43200
E02001089,51000,42800,60800
E02001090,39800,33400,47500
E02001091,36600,30700,43600
E02001092,33600,28200,40000
E02001093,35300,29500,42200
E02001094,29300,24600,34900
E02001095,32800,27500,39100
E02001096,34200,28600,40800
E02001097,31700,26600,37900
E02006902,46800,38500,56900
E02006912,45800,37100,56500
E02006913,39600,33100,47300
E02006914,34600,27100,44200
E02006915,33400,27800,40000
E02006916,42200,35200,50600
E02006917,73400,58500,92200
E02001098,40600,33900,48600
E02001099,36000,30200,42800
E02001100,40100,33700,47800
E02001101,44300,37200,52900
E02001102,43500,36500,51800
E02001103,45800,38400,54600
E02001104,39900,33500,47600
E02001105,37500,31500,44600
E02001106,36900,31000,44000
E02001107,38900,32700,46400
E02001108,33200,27800,39600
E02001109,31600,26500,37600
E02001110,51300,43000,61200
E02001111,25700,21500,30800
E02001112,45400,38000,54200
E02001113,30600,25500,36700
E02001114,34100,28600,40600
E02001115,39200,32900,46600
E02001116,33300,27800,39800
E02001117,46800,39000,56300
E02001118,44000,36700,52700
E02001119,29700,24500,36100
E02001121,28800,23900,34800
E02001123,32300,26900,38900
E02001124,29100,24300,34800
E02001125,38700,32300,46400
E02001126,29600,24700,35500
E02001127,31400,26200,37700
E02001128,34900,29000,41900
E02001129,31600,26400,37900
E02001130,35500,29600,42500
E02001131,35300,29500,42300
E02006860,32700,27200,39400
E02001132,38600,32400,45900
E02001133,44900,37700,53600
E02001134,43000,36100,51200
E02001135,29200,24400,34800
E02001136,39200,32800,46800
E02001137,46600,39100,55500
E02001138,46100,38700,55000
E02001139,30300,25400,36300
E02001140,34300,28800,40800
E02001141,28400,23700,34000
E02001142,50200,41900,60000
E02001143,33300,27800,39800
E02001144,37800,31700,45100
E02001145,41100,34500,48900
E02001146,30600,25600,36700
E02001147,32900,27600,39200
E02001148,34800,29200,41400
E02001149,29400,24700,35100
E02001150,34600,29000,41300
E02001151,40500,34000,48200
E02001152,34100,28600,40600
E02001153,30200,25300,36000
E02001154,34500,28900,41200
E02001155,33200,27800,39600
E02001156,42600,35800,50700
E02001157,28700,24100,34300
E02001158,29200,24500,34900
E02001159,35600,29900,42500
E02001160,34200,28700,40800
E02001161,36900,30900,44100
E02001162,33600,28100,40100
E02001163,43100,36000,51600
E02001164,35500,29600,42600
E02001165,37200,31200,44300
E02001166,34000,28100,41300
E02001167,37700,31500,45100
E02001168,38600,32200,46300
E02001169,51600,43100,61700
E02001170,49800,41700,59400
E02001171,45100,37500,54300
E02001172,29900,24900,35900
E02001173,25200,20800,30600
E02001174,40500,34000,48400
E02001175,38300,31900,46000
E02001176,37200,31100,44400
E02001177,35900,29900,43000
E02001178,38000,31600,45600
E02001179,35100,29300,42000
E02001180,22800,18700,27700
E02001181,32900,27500,39400
E02001182,31200,26000,37400
E02001183,36100,30200,43100
E02001184,40300,33600,48500
E02001185,37800,31700,45100
E02001186,38100,32000,45400
E02001187,37400,31400,44500
E02001188,36500,30600,43500
E02001189,39800,33400,47300
E02001190,26300,22000,31500
E02001191,38100,32000,45300
E02001192,50500,42000,60700
E02001193,41000,34200,49200
E02001194,52300,43700,62500
E02001195,39500,33200,47000
E02001196,41700,35100,49700
E02001197,43800,36700,52200
E02001198,35100,29500,41800
E02001199,49400,41400,59100
E02001200,29300,24400,35100
E02001201,41400,34700,49400
E02001202,37300,31200,44700
E02001203,56900,47300,68300
E02001204,43000,36100,51200
E02001205,36700,30700,43800
E02001206,42100,35300,50200
E02001207,44600,37400,53100
E02001208,41000,34400,48800
E02001209,41800,35100,49800
E02001210,34800,29200,41400
E02001211,47700,40000,56900
E02001212,34700,29100,41500
E02001213,45100,37800,53800
E02001214,43300,36200,51800
E02001215,44100,37000,52700
E02001216,49400,41400,58900
E02001217,37700,31700,44900
E02001218,51100,42800,61000
E02001219,47200,39600,56200
E02001220,47500,39800,56700
E02001221,48900,40900,58300
E02001222,44700,37500,53300
E02001223,51500,43200,61600
E02001224,44100,37000,52700
E02001225,52000,43600,62200
E02001226,43700,36600,52200
E02001227,56900,47500,68200
E02001228,50900,42500,60900
E02001229,42000,35200,50000
E02001230,41600,34900,49600
E02001231,41100,34500,49000
E02001232,35600,29900,42300
E02001233,32300,27100,38500
E02001234,31700,26600,37700
E02001235,37100,31100,44200
E02001236,31700,26600,37700
E02001237,36200,30300,43100
E02001238,35500,29800,42400
E02001239,34600,29000,41200
E02001240,38200,32000,45600
E02001241,27600,23000,33100
E02001242,42300,35400,50500
E02001243,42800,35900,51000
E02001244,43600,36300,52200
E02001245,36600,30700,43700
E02001246,32200,27000,38400
E02001247,33500,28100,40000
E02001248,34400,28900,41000
E02001249,35000,29300,41700
E02001250,40400,33800,48200
E02001251,40700,34200,48500
E02001252,39300,33000,46900
E02001253,37200,31200,44400
E02001254,35300,29600,42100
E02001255,27800,23200,33200
E02001256,32600,27400,38900
E02001257,32100,26900,38400
E02001258,40800,34200,48500
E02001259,34200,28600,40800
E02001260,43500,36500,51900
E02001261,41700,35000,49700
E02001262,37200,31100,44400
E02001263,45900,38500,54700
E02001264,42500,35600,50700
E02001265,40500,34000,48300
E02001266,35500,29800,42300
E02001267,38400,32100,45800
E02001268,44700,37500,53300
E02001269,39200,32900,46800
E02001270,48500,40600,57900
E02001271,41100,34500,49000
E02001272,50900,42700,60800
E02001273,48600,40700,58200
E02001274,50000,41900,59800
E02001275,32300,27100,38500
E02001276,41500,34900,49500
E02001277,40500,34000,48300
E02001278,52700,44100,62900
E02001279,54300,45500,65000
E02001280,37700,31600,44900
E02001281,49100,41100,58600
E02001282,49200,41200,58700
E02001283,49500,41500,59000
E02001284,58900,49200,70600
E02001285,55700,46600,66600
E02001286,54400,45500,65100
E02001287,45800,38400,54600
E02001288,42800,35900,51100
E02001289,43400,36400,51700
E02001290,40600,34100,48400
E02001291,34800,29200,41500
E02001292,42700,35800,50900
E02001293,39600,33100,47400
E02001294,37100,31100,44200
E02001295,26400,22100,31600
E02001296,27700,23200,33100
E02001297,33400,28000,39800
E02001298,30100,25200,35900
E02001299,37600,31500,44700
E02001300,33600,28200,40000
E02001301,31300,26200,37400
E02001302,33300,27900,39800
E02001303,31300,26300,37300
E02001304,41100,34400,49000
E02001305,38800,32500,46200
E02001306,39100,32800,46600
E02001307,45400,38000,54300
E02001308,36700,30700,43800
E02001309,36200,30300,43100
E02001310,33500,28100,40000
E02001311,37200,31200,44300
E02001312,36000,30200,42900
E02001313,31700,26600,37800
E02001314,45300,38000,54100
E02001315,40600,34100,48400
E02001316,31800,26600,38000
E02001317,34400,28900,41000
E02001318,35400,29700,42300
E02001319,31900,26800,38100
E02001320,34700,29100,41300
E02001321,39000,32700,46500
E02001322,37600,31500,44900
E02001323,39400,33100,46900
E02001324,36100,30300,43000
E02001325,42400,35600,50600
E02001326,39900,33500,47600
E02005176,38800,32500,46300
E02005177,32200,27000,38300
E02005178,28800,24000,34600
E02005179,31700,26600,37700
E02005180,42000,35300,50100
E02005181,34500,29000,41100
E02005182,26600,22300,31800
E02005183,35100,29500,41900
E02005184,41100,34500,49100
E02005185,29100,24400,34700
E02005186,44100,37000,52600
E02006881,36400,30600,43300
E02005189,33700,28200,40100
E02005190,47300,39700,56500
E02005191,45200,37900,53800
E02005192,48500,40600,57900
E02005193,46300,38800,55200
E02005194,39900,33500,47600
E02005195,39300,32200,48100
E02005196,43000,36100,51300
E02005197,33400,28100,39900
E02005198,37900,31800,45100
E02005199,45300,38000,53900
E02005200,39100,32800,46500
E02005201,39100,32800,46500
E02005202,42600,35800,50700
E02005203,42000,35200,50100
E02005204,41500,34800,49400
E02005205,43600,36500,52100
E02005206,36300,30500,43200
E02005207,41600,34800,49600
E02005208,34500,28800,41300
E02005209,40400,33900,48200
E02005210,39700,33200,47500
E02005211,42900,36000,51200
E02005212,36700,30800,43700
E02005213,37800,31700,45100
E02005214,36800,31000,43800
E02005215,33200,27900,39500
E02005216,31700,26600,37800
E02005217,28700,24000,34300
E02005218,32900,27600,39300
E02005219,39000,32700,46500
E02005220,38300,32200,45600
E02005221,40200,33700,47800
E02005222,45800,38400,54700
E02005223,44900,37700,53500
E02005224,33500,28000,40000
E02005225,43600,36600,52000
E02005226,28400,23800,33900
E02005228,34200,28700,40700
E02005229,29900,25000,35700
E02005230,31500,26400,37600
E02005231,34600,29000,41100
E02005233,41600,34800,49700
E02005234,38300,31900,45800
E02005235,41400,34500,49600
E02005236,36500,30700,43500
E02005237,43100,36200,51400
E02005238,41900,35100,50000
E02005239,37400,29000,48400
E02006871,38400,32300,45700
E02005240,37000,31000,44100
