msoa11cd,lad20cd,imd_overall_score_2015,imd_income_score_2015,imd_employment_score_2015,imd_health_disability_score_2015,imd_housing_services_score_2015,total_ppl_est_2015
E02000001,E09000001,14.720484223119485,0.06509989531927621,0.05312098100792583,-0.6863357260355915,35.6559796620308,6687
E02000002,E09000002,34.76755983195555,0.21548570266973843,0.13594633419162488,0.22725382843203681,46.26591177666351,7379
E02000003,E09000002,25.149725932835818,0.14097518656716418,0.08623208955223881,-0.02410820895522388,39.823314458955224,10720
E02000004,E09000002,23.560044369645045,0.13829391064871482,0.09985878212974296,0.02406992044063647,36.167014075887394,6536
E02000005,E09000002,30.212965379205887,0.16153121280969382,0.10720913123444768,0.0837696635291572,41.60760305095748,9243
E02000007,E09000002,36.007463265728475,0.2177330298013245,0.13180184188741723,0.3471748758278146,49.404715438741725,9664
E02000008,E09000002,34.4495850024426,0.20251693535254844,0.1388814525321609,0.3292112848070347,44.616818026380066,12282
E02000009,E09000002,36.33654626808835,0.21519544935262758,0.12725885376999238,0.33410300837776086,45.5152315308454,10504
E02000010,E09000002,34.49335914640853,0.21962028379716203,0.13633021669783302,0.25606500934990645,46.58407105928941,9091
E02000011,E09000002,25.713968791598877,0.14729847655672237,0.09167312527732584,0.2528914361780802,39.30958556426564,6761
E02000012,E09000002,20.63216642107202,0.12231313317369681,0.07309025603241849,-0.3234559771596979,40.50975161171487,10858
E02000013,E09000002,36.09122608596511,0.20841409189374074,0.13028708243073767,0.2677083570858511,46.00952776194276,8771
E02000014,E09000002,36.55000135163235,0.20303701393221044,0.13555645664379287,0.33797847785402374,44.956863797047205,9618
E02000015,E09000002,39.60161035457348,0.23574139260020555,0.14832181397738953,0.5999624871531346,49.76852376670092,7784
E02000016,E09000002,33.661131007315696,0.21084400675295442,0.1000243106359032,0.024208778840742826,50.98097231288689,8885
E02000017,E09000002,27.270586768504998,0.14476682017297543,0.08008929574300797,-0.07614388408401661,46.05074480512187,8903
E02000018,E09000002,36.41188683602772,0.208729792147806,0.1294434180138568,0.37576558891454964,48.58554881377283,9526
E02000019,E09000002,32.065294026890015,0.196407317610756,0.11262673572845493,0.15674509587833368,49.418236279479835,9074
E02000020,E09000002,33.22273172595296,0.19539222344851007,0.10798531284489346,0.09751736140589183,52.6834940996689,11779
E02000021,E09000002,31.823478887744592,0.18192276004119465,0.10664812907655338,0.13468188579929052,46.78778761872067,8739
E02000022,E09000002,38.646125014415865,0.2568748702571791,0.13799907738438472,0.30930884557721144,53.34530515511475,8671
E02000023,E09000002,39.06830407275603,0.2326965862659813,0.14221839989455648,0.2713401871622512,53.25737287465401,7587
E02000024,E09000003,9.191532295006871,0.06424141090242785,0.051686211635364174,-1.454861658268438,22.1657642693541,10915
E02000025,E09000003,15.932634441805227,0.11203990498812351,0.08396852731591449,-0.8567840855106889,29.99816947743468,8420
