state,year,zip,tested,BLL_geq_10,BLL_geq_5
AL,2015,35611,124,0,1
AL,2015,35612,2,0,0
AL,2015,35613,54,0,0
AL,2015,35614,45,0,0
AL,2015,35616,28,0,0
AL,2015,35618,12,0,0
AL,2015,35619,16,0,0
AL,2015,35620,32,0,0
AL,2015,35621,11,0,0
AL,2015,35622,45,0,1
AL,2015,35630,129,2,2
AL,2015,35631,1,0,0
AL,2015,35633,51,0,0
AL,2015,35634,23,0,1
AL,2015,35640,120,0,1
AL,2015,35643,9,0,0
AL,2015,35645,22,0,0
AL,2015,35646,37,0,0
AL,2015,35647,5,0,0
AL,2015,35648,7,0,0
AL,2015,35650,53,0,0
AL,2015,35651,7,0,0
AL,2015,35652,15,0,0
AL,2015,35653,147,0,0
AL,2015,35654,83,0,0
AL,2015,35660,97,0,0
AL,2015,35661,95,0,0
AL,2015,35670,33,0,0
AL,2015,35671,5,0,0
AL,2015,35672,34,0,0
AL,2015,35673,34,0,0
AL,2015,35674,174,0,0
AL,2015,35677,10,0,0
AL,2015,35739,13,0,0
AL,2015,35740,14,0,0
AL,2015,35741,1,0,0
AL,2015,35744,8,0,0
AL,2015,35746,4,0,0
AL,2015,35747,14,0,0
AL,2015,35748,4,0,0
AL,2015,35749,54,0,0
AL,2015,35750,16,0,0
AL,2015,35751,2,0,0
AL,2015,35752,2,0,0
AL,2015,35754,10,0,0
AL,2015,35756,38,0,0
AL,2015,35757,32,1,1
AL,2015,35758,88,0,0
AL,2015,35759,3,1,1
AL,2015,35760,13,0,0
AL,2015,35761,20,0,0
AL,2015,35763,8,0,0
AL,2015,35764,1,0,0
AL,2015,35765,10,0,0
AL,2015,35768,12,0,0
AL,2015,35769,12,0,0
AL,2015,35771,9,0,0
AL,2015,35772,17,0,0
AL,2015,35773,24,0,0
AL,2015,35775,2,0,0
AL,2015,35776,4,0,0
AL,2015,35801,26,0,1
AL,2015,35802,21,0,0
AL,2015,35803,27,0,0
AL,2015,35805,135,0,0
AL,2015,35806,35,0,0
AL,2015,35808,2,0,0
AL,2015,35810,127,0,0
AL,2015,35811,39,0,1
AL,2015,35813,1,0,0
AL,2015,35816,83,0,0
AL,2015,35824,24,0,0
AL,2015,35901,31,0,0
AL,2015,35903,26,0,0
AL,2015,35904,34,0,0
AL,2015,35905,7,0,0
AL,2015,35906,33,0,0
AL,2015,35907,26,0,0
AL,2015,35950,253,1,1
AL,2015,35951,113,0,0
AL,2015,35952,31,0,0
AL,2015,35953,14,0,0
AL,2015,35954,34,0,0
AL,2015,35956,19,0,0
AL,2015,35957,108,0,0
AL,2015,35958,10,0,0
AL,2015,35959,12,0,0
AL,2015,35960,25,0,0
AL,2015,35961,37,0,1
AL,2015,35962,46,0,0
AL,2015,35963,10,0,0
AL,2015,35966,7,0,0
AL,2015,35967,87,0,0
AL,2015,35968,194,0,1
AL,2015,35971,21,0,0
AL,2015,35972,1,0,0
AL,2015,35973,15,1,1
AL,2015,35974,7,0,0
AL,2015,35975,2,0,0
AL,2015,35976,81,0,0
AL,2015,35978,19,0,0
AL,2015,35979,6,0,0
AL,2015,35980,30,1,1
AL,2015,35981,7,0,0
AL,2015,35983,12,0,0
AL,2015,35984,5,0,0
AL,2015,35986,54,0,0
AL,2015,35987,4,0,0
AL,2015,35988,19,0,0
AL,2015,35989,13,0,0
AL,2015,36003,3,0,0
AL,2015,36005,23,1,1
AL,2015,36006,3,0,0
AL,2015,36009,17,0,0
AL,2015,36010,60,0,1
AL,2015,36013,3,0,0
AL,2015,36016,4,0,0
AL,2015,36017,7,0,0
AL,2015,36019,1,0,0
AL,2015,36020,2,0,0
AL,2015,36022,27,0,0
AL,2015,36024,11,0,0
AL,2015,36025,23,0,0
AL,2015,36026,1,0,0
AL,2015,36027,3,1,2
AL,2015,36028,13,0,0
AL,2015,36029,5,0,0
AL,2015,36030,2,0,0
AL,2015,36031,3,0,0
AL,2015,36032,15,0,1
AL,2015,36033,18,0,0
AL,2015,36034,5,0,0
AL,2015,36035,16,0,0
AL,2015,36036,9,0,0
AL,2015,36037,72,0,1
AL,2015,36038,1,0,0
AL,2015,36039,1,0,0
AL,2015,36040,37,0,0
AL,2015,36041,9,0,0
AL,2015,36042,4,0,0
AL,2015,36043,22,0,0
AL,2015,36045,1,0,0
AL,2015,36046,3,0,0
AL,2015,36047,10,0,0
AL,2015,36048,4,0,0
AL,2015,36049,42,0,0
AL,2015,36051,13,0,0
AL,2015,36052,3,0,0
AL,2015,36053,4,0,0
AL,2015,36054,82,0,1
AL,2015,36061,1,0,0
AL,2015,36064,48,0,0
AL,2015,36066,56,0,0
AL,2015,36067,100,0,3
AL,2015,36068,1,0,0
AL,2015,36069,17,0,1
AL,2015,36071,6,0,0
AL,2015,36072,1,0,0
AL,2015,36075,25,1,1
AL,2015,36078,97,0,2
AL,2015,36079,110,0,4
AL,2015,36080,5,0,0
AL,2015,36081,202,1,4
AL,2015,36082,1,0,0
AL,2015,36083,162,1,1
AL,2015,36087,4,0,0
AL,2015,36088,36,0,0
AL,2015,36089,42,0,1
AL,2015,36091,29,0,1
AL,2015,36092,43,0,1
AL,2015,36093,11,0,0
AL,2015,36101,2,0,0
AL,2015,36102,1,0,0
AL,2015,36103,2,0,0
AL,2015,36104,110,0,1
AL,2015,36105,141,0,1
AL,2015,36106,91,0,0
AL,2015,36107,148,0,2
AL,2015,36108,328,4,9
AL,2015,36109,152,0,2
AL,2015,36110,232,0,2
AL,2015,36111,107,0,0
AL,2015,36113,2,0,0
AL,2015,36115,3,0,0
AL,2015,36116,454,0,1
AL,2015,36117,209,0,0
AL,2015,36121,1,0,0
AL,2015,36123,2,0,0
AL,2015,36125,4,0,0
AL,2015,36201,71,0,2
AL,2015,36202,2,0,0
AL,2015,36203,52,1,1
AL,2015,36205,4,0,0
AL,2015,36206,37,0,1
AL,2015,36207,36,0,0
AL,2015,36250,8,0,0
AL,2015,36251,24,0,0
AL,2015,36254,2,0,0
AL,2015,36255,2,0,0
AL,2015,36256,1,0,0
AL,2015,36258,8,0,0
AL,2015,36260,19,0,0
AL,2015,36261,3,0,0
AL,2015,36262,7,0,0
AL,2015,36263,1,0,0
AL,2015,36264,31,0,0
AL,2015,36265,39,0,0
AL,2015,36266,32,0,0
AL,2015,36268,11,0,0
AL,2015,36269,2,0,0
AL,2015,36271,18,0,0
AL,2015,36272,62,0,0
AL,2015,36273,7,0,0
AL,2015,36274,22,0,1
AL,2015,36276,2,0,0
AL,2015,36277,12,0,0
AL,2015,36278,8,1,1
AL,2015,36279,5,0,0
AL,2015,36280,4,0,0
AL,2015,36301,8,2,4
AL,2015,36302,1,0,0
AL,2015,36303,9,0,3
AL,2015,36305,1,0,0
AL,2015,36310,1,0,0
AL,2015,36311,12,0,1
AL,2015,36316,4,0,0
AL,2015,36317,1,0,0
AL,2015,36318,2,0,0
AL,2015,36322,15,1,1
AL,2015,36323,30,0,3
AL,2015,36330,113,0,1
AL,2015,36340,18,0,0
AL,2015,36344,5,0,0
AL,2015,36346,11,0,1
AL,2015,36349,1,0,0
AL,2015,36350,4,0,0
AL,2015,36351,5,0,0
AL,2015,36352,3,0,0
AL,2015,36353,1,0,0
AL,2015,36360,106,0,0
AL,2015,36361,1,0,0
AL,2015,36362,1,0,0
AL,2015,36374,3,0,0
AL,2015,36375,5,0,0
AL,2015,36376,1,0,1
AL,2015,36378,1,1,1
AL,2015,36401,43,1,1
AL,2015,36420,110,1,2
AL,2015,36421,75,0,0
AL,2015,36426,135,0,0
AL,2015,36427,11,0,0
AL,2015,36432,27,0,0
AL,2015,36435,10,0,0
AL,2015,36436,3,0,0
AL,2015,36441,26,0,0
AL,2015,36442,28,0,0
AL,2015,36445,7,0,0
AL,2015,36446,13,0,0
AL,2015,36451,84,0,0
AL,2015,36453,5,0,0
AL,2015,36455,3,0,0
AL,2015,36456,6,0,0
AL,2015,36460,15,0,0
AL,2015,36461,2,0,0
AL,2015,36467,97,0,0
AL,2015,36470,2,0,0
AL,2015,36471,2,0,0
AL,2015,36473,1,0,0
AL,2015,36474,37,0,0
AL,2015,36475,3,0,0
AL,2015,36476,2,0,0
AL,2015,36477,11,1,1
AL,2015,36480,3,0,0
AL,2015,36481,2,0,0
AL,2015,36482,27,0,0
AL,2015,36483,2,0,0
AL,2015,36501,1,0,0
AL,2015,36502,119,0,2
AL,2015,36504,5,0,0
AL,2015,36505,8,0,0
AL,2015,36507,100,1,1
AL,2015,36509,44,0,0
AL,2015,36511,1,0,0
AL,2015,36513,5,0,0
AL,2015,36518,16,0,0
AL,2015,36520,1,0,0
AL,2015,36521,42,0,0
AL,2015,36522,135,0,1
AL,2015,36523,28,0,0
AL,2015,36524,28,0,0
AL,2015,36525,14,0,0
AL,2015,36526,28,0,0
AL,2015,36527,10,0,1
AL,2015,36528,4,0,0
AL,2015,36529,5,0,0
AL,2015,36530,4,0,0
AL,2015,36532,13,0,0
AL,2015,36535,47,0,1
AL,2015,36536,1,0,0
AL,2015,36538,1,0,0
AL,2015,36539,1,0,0
AL,2015,36540,25,0,0
AL,2015,36541,155,0,0
AL,2015,36542,32,0,0
AL,2015,36544,156,1,1
AL,2015,36545,145,0,0
AL,2015,36547,2,0,0
AL,2015,36548,15,0,0
AL,2015,36549,2,0,0
AL,2015,36550,1,0,0
AL,2015,36551,12,0,0
AL,2015,36553,51,0,0
AL,2015,36556,1,0,0
AL,2015,36558,11,0,0
AL,2015,36560,72,0,1
AL,2015,36561,12,0,0
AL,2015,36562,12,0,0
AL,2015,36564,2,0,0
AL,2015,36567,15,0,0
AL,2015,36568,6,0,0
AL,2015,36569,5,0,0
AL,2015,36570,1,0,0
AL,2015,36571,43,0,1
AL,2015,36572,16,0,0
AL,2015,36573,1,0,0
AL,2015,36574,1,0,0
AL,2015,36575,107,0,0
AL,2015,36576,4,0,0
AL,2015,36578,5,0,0
AL,2015,36579,9,0,0
AL,2015,36580,7,0,1
AL,2015,36582,232,0,1
AL,2015,36583,1,0,0
AL,2015,36584,6,0,0
AL,2015,36585,10,0,0
AL,2015,36587,106,0,1
AL,2015,36590,6,0,0
AL,2015,36601,1,0,0
AL,2015,36602,1,0,0
AL,2015,36603,106,1,8
AL,2015,36604,68,0,3
AL,2015,36605,485,0,8
AL,2015,36606,240,2,12
AL,2015,36607,69,0,3
AL,2015,36608,232,1,4
AL,2015,36609,191,1,1
AL,2015,36610,190,0,9
AL,2015,36611,79,1,1
AL,2015,36612,68,0,0
AL,2015,36613,136,0,2
AL,2015,36616,1,0,0
AL,2015,36617,181,0,7
AL,2015,36618,148,0,3
AL,2015,36619,121,0,0
AL,2015,36633,16,0,1
AL,2015,36660,1,0,0
AL,2015,36685,2,0,0
AL,2015,36689,1,0,0
AL,2015,36691,1,0,0
AL,2015,36693,99,0,0
AL,2015,36695,149,0,0
AL,2015,36701,112,1,5
AL,2015,36703,74,0,1
AL,2015,36720,8,0,0
AL,2015,36722,6,0,0
AL,2015,36723,1,0,0
AL,2015,36726,66,0,0
AL,2015,36728,10,0,0
AL,2015,36732,51,0,0
AL,2015,36736,15,1,1
AL,2015,36738,6,0,0
AL,2015,36740,7,0,0
AL,2015,36741,1,0,0
AL,2015,36742,4,0,0
AL,2015,36744,76,0,0
AL,2015,36748,32,0,0
AL,2015,36749,3,0,0
AL,2015,36750,15,0,0
AL,2015,36751,15,0,0
AL,2015,36752,8,0,0
AL,2015,36754,6,0,0
AL,2015,36756,36,0,0
AL,2015,36758,5,0,0
AL,2015,36759,5,0,0
AL,2015,36761,6,0,0
AL,2015,36763,1,0,0
AL,2015,36765,12,0,0
AL,2015,36767,12,0,0
AL,2015,36768,2,0,0
AL,2015,36769,41,0,0
AL,2015,36773,2,0,0
AL,2015,36775,4,0,0
AL,2015,36776,14,0,0
AL,2015,36782,11,0,0
AL,2015,36783,2,0,0
AL,2015,36784,82,0,0
AL,2015,36785,15,0,0
AL,2015,36786,23,0,0
AL,2015,36792,11,0,0
AL,2015,36793,1,0,0
AL,2015,36801,276,1,1
AL,2015,36802,1,0,0
AL,2015,36803,9,0,0
AL,2015,36804,179,0,0
AL,2015,36830,175,0,0
AL,2015,36831,6,0,0
AL,2015,36832,175,0,0
AL,2015,36850,15,0,0
AL,2015,36852,20,0,0
AL,2015,36853,20,0,0
AL,2015,36854,132,0,0
AL,2015,36855,3,0,0
AL,2015,36856,28,0,0
AL,2015,36860,10,0,0
AL,2015,36861,8,0,0
AL,2015,36862,70,0,1
AL,2015,36863,111,2,2
AL,2015,36865,2,0,0
AL,2015,36866,40,0,0
AL,2015,36867,104,0,0
AL,2015,36868,3,0,0
AL,2015,36869,99,0,0
AL,2015,36870,87,1,1
AL,2015,36871,2,0,0
AL,2015,36874,68,0,0
AL,2015,36875,19,0,0
AL,2015,36877,63,0,0
AL,2015,36879,15,0,0
AL,2015,36901,1,0,0
AL,2015,36904,13,0,0
AL,2015,36907,8,0,0
AL,2015,36908,6,0,0
AL,2015,36912,7,0,0
AL,2015,36915,3,0,0
AL,2015,36919,16,0,1
AL,2015,36921,11,0,0
AL,2015,36925,16,0,0
AL,2015,36965,1,0,0
AL,2015,Unknown  zip,2477,2,28
AL,2015,Total,26867,65,280
