state,zip,year,tested,BLL_geq_10
MI,48024,2008,,
MI,48024,2009,,
MI,48024,2010,,
MI,48024,2011,,
MI,48024,2012,,
MI,48024,2013,,
MI,48024,2014,,
MI,48024,2015,,
MI,48024,2005,,
MI,48024,2006,,
MI,48024,2007,,
MI,48024,2008,,
MI,48024,2009,,
MI,48024,2010,,
MI,48024,2011,,
MI,48024,2012,,
MI,48024,2013,,
MI,48024,2014,,
MI,48024,2015,,
MI,48025,2005,,
MI,48025,2006,,
MI,48025,2007,,
MI,48025,2008,,
MI,48025,2009,,
MI,48025,2010,,
MI,48025,2011,,
MI,48025,2012,,
MI,48025,2013,,
MI,48025,2014,,
MI,48025,2015,,
MI,48026,2005,,
MI,48026,2006,,
MI,48026,2007,,
MI,48026,2008,,
MI,48026,2009,,
MI,48026,2010,,
MI,48026,2011,,
MI,48026,2012,,
MI,48026,2013,,
MI,48026,2014,,
MI,48026,2015,,
MI,48027,2005,,
MI,48027,2006,,
MI,48027,2007,,
MI,48027,2008,,
MI,48027,2009,,
MI,48027,2010,,
MI,48027,2011,,
MI,48027,2012,,
MI,48027,2013,,
MI,48027,2014,,
MI,48027,2015,,
MI,48028,2005,,
MI,48028,2006,,
MI,48028,2007,,
MI,48028,2008,,
MI,48028,2009,,
MI,48028,2010,,
MI,48028,2011,,
MI,48028,2012,,
MI,48028,2013,,
MI,48028,2014,,
MI,48028,2015,,
MI,48029,2005,,
MI,48029,2006,,
MI,48029,2007,,
MI,48029,2008,,
MI,48029,2009,,
MI,48029,2010,,
MI,48029,2011,,
MI,48029,2012,,
MI,48029,2013,,
MI,48029,2014,,
MI,48029,2015,,
MI,48030,2005,,
MI,48030,2006,,
MI,48030,2007,,
MI,48030,2008,,
MI,48030,2009,,
MI,48030,2010,,
MI,48030,2011,,
MI,48030,2012,,
MI,48030,2013,,
MI,48030,2014,,
MI,48030,2015,,
MI,48030,2005,,
MI,48030,2006,,
MI,48030,2007,,
MI,48030,2008,,
MI,48030,2009,,
MI,48030,2010,,
MI,48030,2011,,
MI,48030,2012,,
MI,48030,2013,,
MI,48030,2014,,
