tract,year,tested,BLL_geq_5
18095011600,2005,0,0
18095011600,2006,0,0
18095011600,2007,0,0
18095011600,2008,0,0
18095011600,2009,0,0
18095011600,2010,0,0
18095011600,2011,0,0
18095011600,2012,0,0
18095011600,2013,0,0
18095011600,2014,0,0
18095011600,2015,0,0
18157010400,2005,0,0
18157010400,2006,0,0
18157010400,2007,0,0
18157010400,2008,0,0
18157010400,2009,0,0
18157010400,2010,0,0
18157010400,2011,0,0
18157010400,2012,0,0
18157010400,2013,0,0
18157010400,2014,0,0
18157010400,2015,0,0
18157010300,2005,0,0
18157010300,2006,0,0
18157010300,2007,0,0
18157010300,2008,1,0
18157010300,2009,0,0
18157010300,2010,0,0
18157010300,2011,1,0
18157010300,2012,0,0
18157010300,2013,0,0
18157010300,2014,0,0
18157010300,2015,0,0
18127980001,2005,0,0
18127980001,2006,0,0
18127980001,2007,0,0
18127980001,2008,0,0
18127980001,2009,0,0
18127980001,2010,0,0
18127980001,2011,0,0
18127980001,2012,0,0
18127980001,2013,0,0
18127980001,2014,3,0
18127980001,2015,0,0
18003980001,2005,0,0
18003980001,2006,0,0
18003980001,2007,0,0
18003980001,2008,2,0
18003980001,2009,0,0
18003980001,2010,1,0
18003980001,2011,0,0
18003980001,2012,0,0
18003980001,2013,0,0
18003980001,2014,1,0
18003980001,2015,0,0
18163980100,2005,0,0
18163980100,2006,0,0
18163980100,2007,0,0
18163980100,2008,0,0
18163980100,2009,0,0
18163980100,2010,0,0
18163980100,2011,0,0
18163980100,2012,0,0
18163980100,2013,0,0
18163980100,2014,4,0
18163980100,2015,0,0
18105020200,2005,0,0
18105020200,2006,3,0
18105020200,2007,1,0
18105020200,2008,0,0
18105020200,2009,0,0
18105020200,2010,2,0
18105020200,2011,0,0
18105020200,2012,0,0
18105020200,2013,1,0
18105020200,2014,0,0
18105020200,2015,1,0
18157005500,2005,3,0
18157005500,2006,0,0
18157005500,2007,1,0
18157005500,2008,0,0
18157005500,2009,0,0
18157005500,2010,0,0
18157005500,2011,1,1
18157005500,2012,0,0
18157005500,2013,1,0
18157005500,2014,3,0
18157005500,2015,0,0
18035090200,2005,0,0
18035090200,2006,2,0
18035090200,2007,4,0
18035090200,2008,3,0
18035090200,2009,1,0
18035090200,2010,0,0
18035090200,2011,0,0
18035090200,2012,0,0
18035090200,2013,0,0
18035090200,2014,1,0
18035090200,2015,0,0
18141011202,2005,4,0
18141011202,2006,2,0
18141011202,2007,2,0
18141011202,2008,0,0
18141011202,2009,1,0
18141011202,2010,0,0
18141011202,2011,2,0
18141011202,2012,1,0
18141011202,2013,0,0
18141011202,2014,1,0
18141011202,2015,0,0
18091041200,2005,2,0
18091041200,2006,3,1
18091041200,2007,3,0
18091041200,2008,1,0
18091041200,2009,1,0
18091041200,2010,1,0
18091041200,2011,0,0
18091041200,2012,1,0
18091041200,2013,2,0
18091041200,2014,0,0
18091041200,2015,0,0
18127050405,2005,2,1
18127050405,2006,0,0
18127050405,2007,2,0
18127050405,2008,3,0
18127050405,2009,1,0
18127050405,2010,0,0
18127050405,2011,2,0
18127050405,2012,2,0
18127050405,2013,1,0
18127050405,2014,1,0
18127050405,2015,0,0
18157005400,2005,1,0
18157005400,2006,2,0
18157005400,2007,3,0
18157005400,2008,2,0
18157005400,2009,1,0
18157005400,2010,2,1
18157005400,2011,0,0
18157005400,2012,2,0
18157005400,2013,0,0
18157005400,2014,0,0
18157005400,2015,1,0
18003980002,2005,1,0
18003980002,2006,1,0
18003980002,2007,2,0
18003980002,2008,2,0
18003980002,2009,2,0
18003980002,2010,1,0
18003980002,2011,2,0
18003980002,2012,1,0
18003980002,2013,0,0
18003980002,2014,2,0
18003980002,2015,3,0
18085961600,2005,1,0
18085961600,2006,5,0
18085961600,2007,2,0
18085961600,2008,2,0
18085961600,2009,2,0
18085961600,2010,1,0
18085961600,2011,1,1
18085961600,2012,5,0
18085961600,2013,2,0
18085961600,2014,4,0
18085961600,2015,1,0
18127051008,2005,2,0
18127051008,2006,1,0
18127051008,2007,4,1
18127051008,2008,6,0
18127051008,2009,3,0
18127051008,2010,1,0
18127051008,2011,3,0
18127051008,2012,4,0
18127051008,2013,1,0
18127051008,2014,0,0
18127051008,2015,4,0
18063210103,2005,1,0
18063210103,2006,2,0
18063210103,2007,8,0
18063210103,2008,3,0
18063210103,2009,1,0
18063210103,2010,3,0
18063210103,2011,2,0
18063210103,2012,3,0
18063210103,2013,1,0
18063210103,2014,3,1
18063210103,2015,3,0
18087970401,2005,0,0
18087970401,2006,2,0
18087970401,2007,1,0
18087970401,2008,4,0
18087970401,2009,0,0
18087970401,2010,2,0
18087970401,2011,5,0
18087970401,2012,4,0
18087970401,2013,2,0
18087970401,2014,11,0
18087970401,2015,1,0
18087970500,2005,1,0
18087970500,2006,1,0
18087970500,2007,3,1
18087970500,2008,4,0
18087970500,2009,3,0
18087970500,2010,8,0
18087970500,2011,6,0
18087970500,2012,3,0
18087970500,2013,2,0
18087970500,2014,3,0
18087970500,2015,3,1
18097320107,2005,1,0
18097320107,2006,2,0
18097320107,2007,4,0
18097320107,2008,3,1
18097320107,2009,7,0
